realtime_start,realtime_end,date,value
2013-08-14,2023-01-02,2007-07-01,207.673
2013-08-14,2023-01-02,2007-08-01,208.477
2013-08-14,2023-01-02,2007-09-01,208.555
2013-08-14,2023-01-02,2007-10-01,209.109
2013-08-14,2023-01-02,2007-11-01,209.377
2013-08-14,2023-01-02,2007-12-01,209.356
2013-08-14,2023-01-02,2008-01-01,210.587
2013-08-14,2023-01-02,2008-02-01,211.576
2013-08-14,2023-01-02,2008-03-01,211.861
2013-08-14,2023-01-02,2008-04-01,213.227
2013-08-14,2023-01-02,2008-05-01,213.329
2013-08-14,2023-01-02,2008-06-01,213.725
2013-08-14,2023-01-02,2008-07-01,214.360
2013-08-14,2023-01-02,2008-08-01,215.266
2013-08-14,2023-01-02,2008-09-01,216.210
2013-08-14,2023-01-02,2008-10-01,216.884
2013-08-14,2023-01-02,2008-11-01,217.886
2013-08-14,2023-01-02,2008-12-01,218.851
2013-08-14,2014-02-17,2009-01-01,219.137
2014-02-18,2023-01-02,2009-01-01,219.167
2013-08-14,2014-02-17,2009-02-01,219.180
2014-02-18,2023-01-02,2009-02-01,219.167
2013-08-14,2014-02-17,2009-03-01,219.571
2014-02-18,2023-01-02,2009-03-01,219.602
2013-08-14,2014-02-17,2009-04-01,219.528
2014-02-18,2023-01-02,2009-04-01,219.612
2013-08-14,2014-02-17,2009-05-01,219.832
2014-02-18,2023-01-02,2009-05-01,219.866
2013-08-14,2014-02-17,2009-06-01,220.305
2014-02-18,2023-01-02,2009-06-01,220.409
2013-08-14,2023-01-02,2009-07-01,220.805
2013-08-14,2014-02-17,2009-08-01,221.139
2014-02-18,2023-01-02,2009-08-01,221.121
2013-08-14,2014-02-17,2009-09-01,221.625
2014-02-18,2023-01-02,2009-09-01,221.606
2013-08-14,2014-02-17,2009-10-01,222.110
2014-02-18,2023-01-02,2009-10-01,222.133
2013-08-14,2014-02-17,2009-11-01,222.876
2014-02-18,2023-01-02,2009-11-01,222.872
2013-08-14,2014-02-17,2009-12-01,222.903
2014-02-18,2023-01-02,2009-12-01,222.683
2013-08-14,2014-02-17,2010-01-01,222.304
2014-02-18,2015-02-19,2010-01-01,222.382
2015-02-20,2023-01-02,2010-01-01,222.275
2013-08-14,2014-02-17,2010-02-01,221.967
2014-02-18,2015-02-19,2010-02-01,221.942
2015-02-20,2023-01-02,2010-02-01,222.040
2013-08-14,2014-02-17,2010-03-01,222.199
2014-02-18,2015-02-19,2010-03-01,222.192
2015-02-20,2023-01-02,2010-03-01,222.258
2013-08-14,2014-02-17,2010-04-01,222.257
2014-02-18,2015-02-19,2010-04-01,222.288
2015-02-20,2023-01-02,2010-04-01,222.351
2013-08-14,2014-02-17,2010-05-01,222.288
2014-02-18,2015-02-19,2010-05-01,222.295
2015-02-20,2023-01-02,2010-05-01,222.444
2013-08-14,2014-02-17,2010-06-01,222.454
2014-02-18,2015-02-19,2010-06-01,222.597
2015-02-20,2023-01-02,2010-06-01,222.727
2013-08-14,2014-02-17,2010-07-01,223.569
2014-02-18,2015-02-19,2010-07-01,223.554
2015-02-20,2023-01-02,2010-07-01,223.621
2013-08-14,2014-02-17,2010-08-01,223.752
2014-02-18,2015-02-19,2010-08-01,223.715
2015-02-20,2023-01-02,2010-08-01,223.722
2013-08-14,2014-02-17,2010-09-01,224.201
2014-02-18,2015-02-19,2010-09-01,224.202
2015-02-20,2023-01-02,2010-09-01,224.169
2013-08-14,2014-02-17,2010-10-01,224.618
2014-02-18,2015-02-19,2010-10-01,224.689
